Date,Close
1/2/14,18.07
1/3/14,18.29
1/4/14,18.08
1/5/14,18.32
1/6/14,18.34
1/7/14,18.3
1/8/14,18.18
1/9/14,17.87
1/10/14,17.49
1/11/14,17.39
1/12/14,17.33
1/13/14,16.96
1/14/14,16.79
1/15/14,16.74
1/16/14,16.67
1/17/14,16.67
1/18/14,16.67
1/19/14,16.69
1/20/14,16.91
1/21/14,17.26
1/22/14,17.13
1/23/14,17.06
1/24/14,16.9
1/25/14,16.89
1/26/14,17.17
1/27/14,19.64
1/28/14,19.36
1/29/14,19.37
1/30/14,19.63
1/31/14,19.77
2/1/14,19.8
2/2/14,19.94
2/3/14,19.68
2/4/14,19.63
2/5/14,19.72
2/6/14,19.69
2/7/14,19.46
2/8/14,19.44
2/9/14,19.55
2/10/14,19.35
2/11/14,19.52
2/12/14,19.71
2/13/14,20.04
2/14/14,20.17
2/15/14,20.11
2/16/14,20.29
2/17/14,20.07
2/18/14,20.6
2/19/14,20.85
2/20/14,21
2/21/14,21.23
2/22/14,21.1
2/23/14,21.04
2/24/14,20.92
2/25/14,20.78
2/26/14,20.49
2/27/14,20.59
2/28/14,20.59
3/1/14,20.25
3/2/14,20.45
3/3/14,20.44
3/4/14,20.69
3/5/14,20.78
3/6/14,20.24
3/7/14,20.12
3/8/14,19.43
3/9/14,19.74
3/10/14,19.84
3/11/14,19.38
3/12/14,19.04
3/13/14,19.24
3/14/14,19.07
3/15/14,19.45
3/16/14,19.69
3/17/14,19.69
3/18/14,19.9
3/19/14,19.63
3/20/14,19.57
3/21/14,19.46
3/22/14,19.33
3/23/14,19.69
3/24/14,20.01
3/25/14,19.97
3/26/14,19.94
3/27/14,19.42
3/28/14,19.31
3/29/14,21.01
3/30/14,20.8
3/31/14,20.79
4/1/14,20.67
4/2/14,20.5
4/3/14,20.28
4/4/14,20.08
4/5/14,20.35
4/6/14,20.78
4/7/14,20.83
4/8/14,20.87
4/9/14,20.53
4/10/14,20.68
4/11/14,20.58
4/12/14,20.33
4/13/14,20.75
4/14/14,20.78
4/15/14,20.62
4/16/14,20.75
4/17/14,20.73
4/18/14,20.71
4/19/14,20.92
4/20/14,21.29
4/21/14,21.45
4/22/14,21.48
4/23/14,21.32
4/24/14,21.41
4/25/14,21.43
4/26/14,21.81
4/27/14,21.82
4/28/14,22.03
4/29/14,22.01
4/30/14,22.1
5/1/14,21.9
5/2/14,22.04
5/3/14,21.8
5/4/14,21.92
5/5/14,22.3
5/6/14,22.55
5/7/14,22.47
5/8/14,22.67
5/9/14,22.59
5/10/14,22.31
5/11/14,22.52
5/12/14,22.44
5/13/14,22.44
5/14/14,22.59
5/15/14,22.75
5/16/14,23.02
5/17/14,22.57
5/18/14,22.93
5/19/14,22.79
5/20/14,22.94
5/21/14,23.12
5/22/14,23.19
5/23/14,22.99
5/24/14,23.37
5/25/14,22.96
5/26/14,22.89
5/27/14,22.38
5/28/14,22.44
5/29/14,22.61
5/30/14,22.36
5/31/14,22.95
6/1/14,22.4
6/2/14,22.54
6/3/14,22.8
6/4/14,22.81
6/5/14,23.01
6/6/14,23.31
6/7/14,23.36
6/8/14,23.27
6/9/14,23.01
6/10/14,23.08
6/11/14,23.16
6/12/14,23.13
6/13/14,23.04
6/14/14,23.01
6/15/14,23.19
6/16/14,23.35
6/17/14,23.54
6/18/14,23.74
6/19/14,23.95
6/20/14,23.79
6/21/14,24.02
6/22/14,23.86
6/23/14,23.73
6/24/14,23.81
6/25/14,23.87
6/26/14,23.39
6/27/14,22.31
6/28/14,22.21
6/29/14,21.44
6/30/14,21.77
7/1/14,21.82
7/2/14,21.69
7/3/14,21.28
7/4/14,21.21
7/5/14,21.01
7/6/14,21.25
7/7/14,20.91
7/8/14,20.79
7/9/14,20.59
7/10/14,20.41
7/11/14,20.71
7/12/14,20.64
7/13/14,20.13
7/14/14,20.64
7/15/14,20.08
7/16/14,18.71
7/17/14,18.42
7/18/14,18.21
7/19/14,18.72
7/20/14,18.99
7/21/14,18.85
7/22/14,18.87
7/23/14,19.24
7/24/14,19.04
7/25/14,19.06
7/26/14,19.17
7/27/14,18.99
7/28/14,19.23
7/29/14,19.04
7/30/14,19.58
7/31/14,19.95
8/1/14,20.3
8/2/14,19.95
8/3/14,20.83
8/4/14,20.58
8/5/14,20.65
8/6/14,20.92
8/7/14,20.61
8/8/14,20.41
8/9/14,20.34
8/10/14,20.1
8/11/14,19.9
8/12/14,20.01
8/13/14,19.57
8/14/14,21.11
8/15/14,21.17
