Date,Close
1/2/14,15.86
1/3/14,15.67
1/6/14,15.88
1/7/14,16.14
1/8/14,16.36
1/9/14,15.75
1/10/14,15.73
1/13/14,15.36
1/14/14,15.84
1/15/14,16.01
1/16/14,16.06
1/17/14,15.99
1/21/14,16.05
1/22/14,16.03
1/23/14,15.97
1/24/14,15.56
1/27/14,15.46
1/28/14,15.61
1/29/14,15.46
1/30/14,15.72
1/31/14,15.7
2/3/14,15.49
2/4/14,15.58
2/5/14,15.44
2/6/14,15.64
2/7/14,15.87
2/10/14,15.92
2/11/14,16.25
2/12/14,16.83
2/13/14,17.36
2/14/14,17.91
2/18/14,17.9
2/19/14,18.14
2/20/14,18.78
2/21/14,18.64
2/24/14,18.91
2/25/14,18.74
2/26/14,18.71
2/27/14,18.5
2/28/14,18.38
3/3/14,18.29
3/4/14,18.48
3/5/14,18.64
3/6/14,18.38
3/7/14,18.36
3/10/14,18.09
3/11/14,18.27
3/12/14,18.32
3/13/14,17.74
3/14/14,17.82
3/17/14,17.82
3/18/14,18.24
3/19/14,18.56
3/20/14,18.57
3/21/14,18.54
3/24/14,18.45
3/25/14,18.45
3/26/14,18.03
3/27/14,17.79
3/28/14,17.9
3/31/14,17.91
4/1/14,18.65
4/2/14,18.53
4/3/14,18.73
4/4/14,18.15
4/7/14,18.21
4/8/14,18.86
4/9/14,18.84
4/10/14,18.38
4/11/14,18.12
4/14/14,18.32
4/15/14,18.45
4/16/14,18.49
4/17/14,18.56
4/21/14,18.71
4/22/14,18.87
4/23/14,19.09
4/24/14,19.26
4/25/14,18.73
4/28/14,18.65
4/29/14,18.69
4/30/14,18.47
5/1/14,18.57
5/2/14,18.43
5/5/14,18.63
5/6/14,18.25
5/7/14,18.27
5/8/14,18.5
5/9/14,18.05
5/12/14,18.58
5/13/14,18.28
5/14/14,18.1
5/15/14,18
5/16/14,17.96
5/19/14,18.54
5/20/14,18.24
5/21/14,18.24
5/22/14,18.32
5/23/14,18.49
5/27/14,18.82
5/28/14,18.98
5/29/14,18.95
5/30/14,19
6/2/14,18.94
6/3/14,18.86
6/4/14,18.88
6/5/14,18.96
6/6/14,19.03
6/9/14,19.05
6/10/14,19.15
6/11/14,19.4
6/12/14,19.52
6/13/14,19.54
6/16/14,19.48
6/17/14,19.61
6/18/14,19.59
6/19/14,19.14
6/20/14,18.93
6/23/14,18.71
6/24/14,18.42
6/25/14,18.61
6/26/14,18.36
6/27/14,18.38
6/30/14,18.54
7/1/14,18.75
7/2/14,18.68
7/3/14,18.85
7/7/14,18.7
7/8/14,18.55
7/9/14,19.11
7/10/14,19.01
7/11/14,19.05
7/14/14,19.29
7/15/14,19.37
7/16/14,19.35
7/17/14,19.3
7/18/14,18.44
7/21/14,18.55
7/22/14,18.47
7/23/14,18.08
7/24/14,18.11
7/25/14,17.79
7/28/14,17.72
7/29/14,17.78
7/30/14,18.08
7/31/14,17.5
8/1/14,17.69
8/4/14,17.65
8/5/14,17.66
8/6/14,17.64
8/7/14,17.46
8/8/14,19
8/11/14,18.9
8/12/14,18.9
8/13/14,19.01
8/14/14,18.8
8/15/14,19.04
8/18/14,19.3
8/19/14,19.37
8/20/14,19.25
8/21/14,19.07
8/22/14,19.08
8/25/14,19.11
8/26/14,19.45
8/27/14,19.23
8/28/14,19.39
8/29/14,19.45
9/2/14,19.5
9/3/14,19.68
9/4/14,20.03
9/5/14,19.97
9/8/14,19.79
9/9/14,19.54
9/10/14,19.61
9/11/14,19.41
9/12/14,19.12
9/15/14,18.86
9/16/14,19.14
9/17/14,19.15
9/18/14,19.44
9/19/14,19.08
9/22/14,18.89
9/23/14,18.81
9/24/14,18.92
9/25/14,18.51
9/26/14,18.55
9/29/14,18.52
9/30/14,18.45
10/1/14,18.27
10/2/14,18.19
10/3/14,18.23
10/6/14,18.12
10/7/14,17.93
10/8/14,18.26
10/9/14,17.91
10/10/14,16.85
10/13/14,16.79
10/14/14,17.18
10/15/14,17.44
10/16/14,17.45
10/17/14,17.42
10/20/14,17.57
10/21/14,18.32
10/22/14,17.89
10/23/14,18.29
10/24/14,18.48
10/27/14,18.49
10/28/14,18.93
10/29/14,18.81
10/30/14,18.69
10/31/14,19.54
11/3/14,19.87
11/4/14,20.13
11/5/14,20.13
11/6/14,20.22
11/7/14,19.79
11/10/14,20.02
11/11/14,19.78
11/12/14,19.65
11/13/14,19.55
11/14/14,19.79
11/17/14,19.7
11/18/14,20.17
11/19/14,20.01
11/20/14,20.34
11/21/14,20.45
11/24/14,20.58
11/25/14,20.57
11/26/14,20.92
11/28/14,20.97
12/1/14,20.58
12/2/14,20.61
12/3/14,21.14
12/4/14,20.95
12/5/14,21.07
12/8/14,20.8
12/9/14,20.73
12/10/14,20.27
12/11/14,20.26
12/12/14,19.63
12/15/14,19.57
12/16/14,19.35
12/17/14,20.14
12/18/14,20.22
12/19/14,20.42
12/22/14,20.78
12/23/14,20.65
12/24/14,20.57
12/26/14,20.59
12/29/14,20.56
12/30/14,20.37
12/31/14,20.05
1/2/15,20.13
1/5/15,19.79
1/6/15,19.19
1/7/15,19.14
1/8/15,19.86
1/9/15,19.94
1/12/15,19.69
1/13/15,19.66
1/14/15,19.74
1/15/15,19.6
1/16/15,19.96
1/20/15,20.02
1/21/15,20.3
1/22/15,20.65
1/23/15,20.71
1/26/15,20.62
1/27/15,19.63
1/28/15,19.31
1/29/15,19.78
1/30/15,19.2
2/2/15,19.62
2/3/15,20.11
2/4/15,20.16
2/5/15,20.49
2/6/15,20.4
2/9/15,20.38
2/10/15,20.95
2/11/15,20.81
2/12/15,22.3
2/13/15,22.31
2/17/15,22.38
2/18/15,22.12
2/19/15,22.18
2/20/15,22.34
2/23/15,22.16
2/24/15,22.31
2/25/15,22.14
2/26/15,22.2
2/27/15,22.06
3/2/15,22.6
3/3/15,22.18
3/4/15,22.43
3/5/15,22.86
3/6/15,22.55
3/9/15,22.61
3/10/15,23
3/11/15,22.88
3/12/15,22.67
3/13/15,22.7
3/16/15,22.97
3/17/15,23.25
3/18/15,22.87
3/19/15,23.22
3/20/15,23.47
3/23/15,22.71
3/24/15,22.4
3/25/15,21.04
3/26/15,20.97
3/27/15,21.38
3/30/15,21.47
3/31/15,20.93
4/1/15,21.01
4/2/15,21.06
4/6/15,21.67
4/7/15,21.86
4/8/15,22.02
4/9/15,22.53
4/10/15,22.76
4/13/15,22.55
4/14/15,22.36
4/15/15,22.63
4/16/15,22.49
4/17/15,22.2
4/20/15,22.09
4/21/15,22.06
4/22/15,22.31
4/23/15,22.22
4/24/15,22.03
4/27/15,22.2
4/28/15,22.31
4/29/15,22.14
4/30/15,22.2
5/1/15,22.75
5/4/15,22.61
5/5/15,22.03
5/6/15,22.1
5/7/15,22.49
5/8/15,20.83
5/11/15,20.63
5/12/15,20.83
5/13/15,20.95
5/14/15,21.29
5/15/15,21.3
5/18/15,21.27
5/19/15,21.04
5/20/15,21.04
5/21/15,20.89
5/22/15,20.86
5/26/15,20.73
5/27/15,21.84
5/28/15,22.14
5/29/15,22.13
6/1/15,22.38
6/2/15,21.94
6/3/15,21.7
6/4/15,22.09
6/5/15,22.26
6/8/15,21.75
6/9/15,21.86
6/10/15,21.47
6/11/15,21.7
6/12/15,21.11
6/15/15,21.07
6/16/15,21.33
6/17/15,21.58
6/18/15,21.94
6/19/15,21.87
6/22/15,21.78
6/23/15,21.22
6/24/15,21.01
6/25/15,21.17
6/26/15,20.74
6/29/15,20.12
6/30/15,20.11
7/1/15,20.4
7/2/15,20.42
7/6/15,20.17
7/7/15,19.79
7/8/15,19.65
7/9/15,19.41
